Location,Number of Jobs
Bangalore/Bengaluru,1302
Bangalore,1225
Pune,830
Hyderabad/Secunderabad,797
Chennai,630
Mumbai,619
Delhi,471
Bengaluru,457
Gurgaon/Gurugram,434
Delhi / NCR,408
Gurugram,380
Hyderabad,350
"Bangalore/Bengaluru,",308
Mumbai (All Areas),269
Gurgaon,259
Noida,247
Kolkata,193
Ahmedabad,125
Indore,69
New Delhi,69
Kochi/Cochin,44
Navi Mumbai,40
Trivandrum,36
Trivandrum/Thiruvananthapuram,33
Jaipur,29
Chandigarh,28
Coimbatore,28
United States (USA),23
Nagpur,21
Mumbai Suburban,20
Thane,16
Indi,13
India,12
Mohali,10
Remote,10
Kochi,10
Greater Noida,9
Lucknow,9
Visakhapatnam,9
Delhi NCR,9
Faridabad,8
Kalyani,8
Bhubaneswar,8
Mangalore,7
Mangaluru/Mangalore,7
Bhopal,7
Raipur,6
Gujarat,6
Bangalore North,6
Vijayawada,6
Vadodara,6
Ernakulam,5
Panjim,5
Gandhinagar,5
Kakinada,5
haryana,5
Goregaon,5
Goa,4
kerala,4
india,4
Panaji/Panjim,4
any,3
telangana,3
delhi ncr,3
Noida(Sector-63 Noida),3
Delhi/NCR,3
Nagar,3
Bengaluru / Bangalore,3
Guwahati,3
Mysore,3
Pondicherry/Puducherry,3
chennai,3
Rajkot,3
Singapore,2
Haryana,2
Pune(Senapati Bapat Road),2
Punjab,2
Thiruvananthapuram,2
South Goa,2
goa,2
tamil,2
Cochin/ Kochi/ Ernakulam,2
Bengaluru/Bangalore,2
Kurnool,2
"Noida,",2
Manesar,2
International,2
Panvel,2
Gurgaon/Gurugram(Sohna Road),2
Surat,2
Jamshedpur,2
Mysore/Mysuru,2
Guntur,2
Karnataka,2
Mumbai (All Areas)(Lower Parel),2
Ghaziabad,2
Bangalore Rural,2
Dehradun,2
Chenani,2
Mohali/SAS Nagar,2
Overseas,2
Udupi,1
vashi,1
"ahmedabad,detroj,dholka,viramgam,raipur",1
Cannanore/Kannur,1
Bangalore/Bengaluru(Vidyaranyapura),1
Maharashtra,1
Tumkur,1
Srinagar,1
Mumbai(Mumbai Central),1
Kollam/Quilon,1
Dharmapuri,1
remote,1
Swargate,1
Hyderabad/Secunderabad(Kandukuru +3),1
DELHI NCR,1
Rohini Sector - 7,1
Kozhikode,1
Malad,1
Anantapur,1
Noida(Sector-125 Noida),1
dharmapuri,1
Ankleshwar,1
Ranchi,1
Kannur,1
Howrah,1
Thrissur/Trichur,1
tamilnadu other,1
Sohna,1
Delhi /NCR,1
dwarka,1
Thodupuzha,1
Others,1
Ahmedabad(Ghatlodia),1
Open,1
United Kingdom (UK),1
New Delhi(Rani Bagh),1
Aurangabad,1
Bhilai/Bhillai,1
Any Location,1
Kanyakumari,1
Daman & Diu,1
Mumbai(Airoli),1
Dharwad,1
Nasik/Nashik,1
Kharadi,1
Belagavi/Belgaum,1
Gurgaon/Gurugram(Gwal Pahari),1
Bareilly,1
Karur,1
DELHI/NCR,1
Palani,1
Jhansi,1
maharashtra,1
Vellore,1
New Delhi(Greater Kailash),1
Vishakhapatnam,1
pune,1
New Delhi(Mohan Co-operative),1
Gurgaon/Gurugram(Cyber City),1
Hubli,1
Kanpur,1
Panchkula,1
Bellary/Ballari,1
Madurai,1
Udaipur,1
Belgaum,1
Bangalore/Bengaluru(Marathahalli),1
Kancheepuram,1
Anywhere in India,1
Tirupati,1
Nagercoil,1
Pune(Kharadi),1
Pune(Viman Nagar),1
Andheri East,1
Agra,1
Bharuch,1
Jaunpur,1
gaur,1
DELH NCR,1
Japan,1
Tiruchirapalli/Trichy,1
Mathura,1
Angul,1
Bhagalpur,1
Jharsuguda,1
Muzaffarpur,1
Bangalore/Bengaluru(Electronic City),1
Mumbai (All Areas)(Bandra Kurla Complex),1
New Delhi(Jasola),1
Calicut/Kozhikode,1
Bhiwandi,1
Tirunelveli,1
gujarat,1
Bhilwara,1
Meerut,1
Ghaziabad(Vaishali),1
Ahmedabad(Prahlad Nagar),1
Dubai,1
Kota,1
Bangalore/Bengaluru(BTM Layout),1
Jabalpur,1
Chennai(Mount Road),0
Mumbai(Powai),0
Uttar Pradesh,0
Karnal,0
Greater Noida(Kasna),0
New Delhi(Connaught Place),0
Amritsar,0
Mumbai(Sector 30A Vashi),0
Chennai(Teynampet),0
Gangtok,0
Chennai(Taramani),0
Siddipet,0
Mumbai(Prabhadevi),0
Hyderabad/Secunderabad(Madhapur),0
Delhi / NCR(Ghitorni),0
Bangalore/Bengaluru(Hebbal),0
Noida(Sector-16A Noida),0
Noida(NSEZ),0
Ahmedabad(Anand Nagar +7),0
Alleppey/Alappuzha,0
Bangalore/Bengaluru(Bellandur),0
Chhattisgarh,0
Bangalore/Bengaluru(JP Nagar),0
Gwalior,0
Pune(Kalyani Nagar),0
Bangalore/Bengaluru(5th block Koramangala),0
Yamunanagar,0
Noida(Sector-11 Noida),0
Anand,0
Shillong,0
Jalandhar,0
Pune(Sector No-7 Bhosari),0
Noida(Sector-2 Noida),0
Chennai(Vadapalani),0
Gurgaon Gurugram,0
New Delhi(Safdarjung),0
Bangalore/Bengaluru(HSR Layout +2),0
Noida(Sector-132 Noida),0
Hyderabad/Secunderabad(Nanakramguda),0
Noida(Sector-59 Noida),0
Bangalore/Bengaluru(Sector 6 HSR Layout),0
Dindigul,0
Bangalore/Bengaluru(Whitefield),0
Hyderabad/Secunderabad(Kondapur),0
Chennai(Saligramam),0
Chennai(Ramapuram +1),0
New Delhi(Ashok Nagar),0
Chennai(Manapakkam),0
Bangalore/Bengaluru(Koramangala),0
New Delhi(Wazirpur),0
Erode,0
Hyderabad/Secunderabad(Gachibowli),0
"verna,goa",0
Bhiwadi,0
Kolkata(Salt Lake +1),0
Bangalore/Bengaluru(Old Madras Road),0
Bangalore/Bengaluru(Residency Road),0
Ambah,0
"lunglei,mizoram",0
Hosur,0
Delhi / NCR(Rani Bagh),0
Bahadurgarh,0
Thiruvallur,0
Faridabad(Ballabhgarh),0
Sholinganallur,0
Delhi / NCR(A1 Block Janakpuri),0
Mumbai(SEEPZ),0
Bangalore/Bengaluru(Bannerghatta Road),0
Hyderabad/Secunderabad(Somajiguda),0
karnataka,0
Bangalore/Bengaluru(Electronic City +1),0
Pune(Hadapsar),0
Pune(Talegaon Dabhade),0
Pune(Baner),0
Bangalore/Bengaluru(Sarjapur),0
Pune(Bavdhan),0
Jharkhand,0
Hyderabad/Secunderabad(Begumpet),0
Mumbai(Mumbra),0
Hyderabad/Secunderabad(Banjara hills),0
Bangalore/Bengaluru(HSR Layout),0
Pune(Balaji Nagar +7),0
Delhi / NCR(Chattarpur),0
Serilingampally,0
Bangalore/Bengaluru(EPIP Zone +1),0
Salem,0
Bangalore/Bengaluru(Mission Road),0
Bangalore/Bengaluru(Sadashiva Nagar),0
Bangalore/Bengaluru(HSR Layout +1),0
Bangalore/Bengaluru(Sector 1 HSR Layout),0
punjab,0
Warangal,0
Maldah/Malda,0
Bangalore/Bengaluru(Indira Nagar),0
Ludhiana,0
Bangalore/Bengaluru(Banaswadi),0
Delhi / NCR(East Patel Nagar),0
Pune(Balewadi Phata),0
Delhi / NCR(Vaishali),0
Bangalore/Bengaluru(Jayanagar),0
Hyderabad/Secunderabad(KPHB),0
Bangalore/Bengaluru(Sector 2 HSR Layout),0
Bangalore/Bengaluru(6th Phase JP Nagar),0
Pune(Wakad +3),0
Bangalore/Bengaluru(Electronics City Phase 1),0
Trichy,0
Chennai(Perungudi),0
Hyderabad/Secunderabad(Srinagar Colony),0
Bangalore/Bengaluru(Sahakara Nagar),0
Chengalpattu,0
Sami,0
Hyderabad/Secunderabad(Kushaiguda +1),0
New Delhi(Udyog Nagar),0
Chennai(Porur +1),0
Noida(Sector-95 Noida),0
Bangalore/Bengaluru(Shettihalli),0
